PLAYER,STATUS,REASON,TEAM,GAME,DATE
"Clark, Jaylen",Out,G League - Two-Way,Minnesota Timberwolves,MIN@GSW,12/08/2024
"Dillingham, Rob",Out,Injury/Illness - Right Ankle; Sprain,Minnesota Timberwolves,MIN@GSW,12/08/2024
"Edwards, Jesse",Out,G League - Two-Way,Minnesota Timberwolves,MIN@GSW,12/08/2024
"Ingles, Joe",Out,Injury/Illness - Left Soleus; Strain,Minnesota Timberwolves,MIN@GSW,12/08/2024
"Miller, Leonard",Out,G League - On Assignment,Minnesota Timberwolves,MIN@GSW,12/08/2024
"Melton, De'Anthony",Out,Injury/Illness - Left ACL; Surgery,Golden State Warriors,MIN@GSW,12/08/2024
"Moody, Moses",Questionable,Injury/Illness - Left Knee; Patellar Tendonopathy,Golden State Warriors,MIN@GSW,12/08/2024
"Wiggins, Andrew",Questionable,Injury/Illness - Right Ankle; Impingement,Golden State Warriors,MIN@GSW,12/08/2024
"Dante, N'Faly",Out,G League - Two-Way,Houston Rockets,HOU@LAC,12/08/2024
"Eason, Tari",Out,Concussion Protocol,Houston Rockets,HOU@LAC,12/08/2024
"Tate, Jae'Sean",Questionable,Injury/Illness - Lower Back; Pain,Houston Rockets,HOU@LAC,12/08/2024
"VanVleet, Fred",Questionable,Injury/Illness - Right Knee; Contusion,Houston Rockets,HOU@LAC,12/08/2024
"Whitmore, Cam",Out,G League - On Assignment,Houston Rockets,HOU@LAC,12/08/2024
"Williams, Nate",Out,G League - Two-Way,Houston Rockets,HOU@LAC,12/08/2024
"Bamba, Mo",Questionable,Injury/Illness - Left Knee; Injury Recovery,LA Clippers,HOU@LAC,12/08/2024
"Brown, Kobe",Out,Injury/Illness - Back; Injury Management,LA Clippers,HOU@LAC,12/08/2024
"Dunn, Kris",Questionable,Injury/Illness - N/a; Illness,LA Clippers,HOU@LAC,12/08/2024
"Harden, James",Questionable,Injury/Illness - Right Groin; Soreness,LA Clippers,HOU@LAC,12/08/2024
"Leonard, Kawhi",Out,Injury/Illness - Right Knee; Injury Recovery,LA Clippers,HOU@LAC,12/08/2024
"Mann, Terance",Out,Injury/Illness - Left Middle Finger; Fracture,LA Clippers,HOU@LAC,12/08/2024
"Tucker, P.J.",Out,Not With Team,LA Clippers,HOU@LAC,12/08/2024
"Clarkson, Jordan",Out,Injury/Illness - Left Plantar; Fasciitis,Utah Jazz,UTA@SAC,12/08/2024
"Filipowski, Kyle",Questionable,Injury/Illness - Left Lower Leg; Injury management,Utah Jazz,UTA@SAC,12/08/2024
"Hendricks, Taylor",Out,Injury/Illness - Right Fibula; Fracture,Utah Jazz,UTA@SAC,12/08/2024
"Jones Garcia, David",Out,G League - Two-Way,Utah Jazz,UTA@SAC,12/08/2024
"Markkanen, Lauri",Questionable,Injury/Illness - Low Back; Injury management,Utah Jazz,UTA@SAC,12/08/2024
"Sexton, Collin",Available,Injury/Illness - Left Fourth Finger Dip; Avulsion fracture,Utah Jazz,UTA@SAC,12/08/2024
"Tshiebwe, Oscar",Out,G League - Two-Way,Utah Jazz,UTA@SAC,12/08/2024
"Williams, Cody",Out,G League - On Assignment,Utah Jazz,UTA@SAC,12/08/2024
"Carter, Devin",Out,Injury/Illness - Left Shoulder; Surgery,Sacramento Kings,UTA@SAC,12/08/2024
"Lyles, Trey",Out,Injury/Illness - Right Calf; Strain,Sacramento Kings,UTA@SAC,12/08/2024
"Camara, Toumani",Questionable,Injury/Illness - Right Foot; Sprain,Portland Trail Blazers,POR@LAL,12/08/2024
"Clingan, Donovan",Out,Injury/Illness - Left Knee; Sprain,Portland Trail Blazers,POR@LAL,12/08/2024
"Henderson, Scoot",Questionable,Injury/Illness - Left Quad; Contusion,Portland Trail Blazers,POR@LAL,12/08/2024
"Moore, Taze",Out,G League - Two-Way,Portland Trail Blazers,POR@LAL,12/08/2024
"Reath, Duop",Doubtful,Injury/Illness - Back; Soreness,Portland Trail Blazers,POR@LAL,12/08/2024
"Thybulle, Matisse",Out,Injury/Illness - Right Ankle; Sprain,Portland Trail Blazers,POR@LAL,12/08/2024
"Williams III, Robert",Out,Concussion Protocol,Portland Trail Blazers,POR@LAL,12/08/2024
"Davis, Anthony",Probable,Injury/Illness - Left Plantar; Fasciitis,Los Angeles Lakers,POR@LAL,12/08/2024
"Hayes, Jaxson",Out,Injury/Illness - Right Ankle; Sprain/Contusion,Los Angeles Lakers,POR@LAL,12/08/2024
"James, LeBron",Probable,Injury/Illness - Left Foot; Soreness,Los Angeles Lakers,POR@LAL,12/08/2024
"Reaves, Austin",Doubtful,Injury/Illness - Left Pelvic; Contusion,Los Angeles Lakers,POR@LAL,12/08/2024
"Vanderbilt, Jarred",Out,Injury/Illness - Right Foot; Surgery Recovery,Los Angeles Lakers,POR@LAL,12/08/2024
"Wood, Christian",Out,Injury/Illness - Left Knee; Surgery Recovery,Los Angeles Lakers,POR@LAL,12/08/2024
"Buie III, Boo",Out,G League - Two-Way,New York Knicks,NYK@TOR,12/09/2024
"McCullar Jr., Kevin",Out,G League - Two-Way,New York Knicks,NYK@TOR,12/09/2024
"Payne, Cameron",Questionable,Injury/Illness - Left Elbow; Effusion,New York Knicks,NYK@TOR,12/09/2024
"Robinson, Mitchell",Out,Injury/Illness - Left Ankle; Surgery,New York Knicks,NYK@TOR,12/09/2024
"Towns, Karl-Anthony",Questionable,Injury/Illness - Right Knee; Patellar Tendonopathy,New York Knicks,NYK@TOR,12/09/2024
"Brown, Bruce",Out,Return to Competition Reconditioning,Toronto Raptors,NYK@TOR,12/09/2024
"Carton, D.J.",Out,G League - Two-Way,Toronto Raptors,NYK@TOR,12/09/2024
"Quickley, Immanuel",Out,Injury/Illness - Left Elbow; Partial UCL Tear,Toronto Raptors,NYK@TOR,12/09/2024
"Banchero, Paolo",Out,Injury/Illness - Right Oblique; Torn,Orlando Magic,ORL@MIL,12/10/2024
"Harris, Gary",Out,Injury/Illness - Left Hamstring; Strain,Orlando Magic,ORL@MIL,12/10/2024
"Isaac, Jonathan",Questionable,Injury/Illness - Right Hamstring; Strain,Orlando Magic,ORL@MIL,12/10/2024
"McClung, Mac",Available,G League - Two-Way,Orlando Magic,ORL@MIL,12/10/2024
"Wagner, Franz",Out,Injury/Illness - Right Oblique; Torn,Orlando Magic,ORL@MIL,12/10/2024
"Antetokounmpo, Giannis",Probable,Injury/Illness - Right Patella; Tendinopathy,Milwaukee Bucks,ORL@MIL,12/10/2024
"Beauchamp, MarJon",Probable,Injury/Illness - Left Hamstring; Tendinopathy,Milwaukee Bucks,ORL@MIL,12/10/2024
"Livingston, Chris",Out,Injury/Illness - Left Ankle; Sprain,Milwaukee Bucks,ORL@MIL,12/10/2024
"Middleton, Khris",Probable,Injury/Illness - Bilateral Ankle; Surgery,Milwaukee Bucks,ORL@MIL,12/10/2024
"Exum, Dante",Out,Injury/Illness - Right Wrist; Surgery,Dallas Mavericks,DAL@OKC,12/10/2024
"Hardy, Jaden",Out,Injury/Illness - Right Ankle; Sprain,Dallas Mavericks,DAL@OKC,12/10/2024
"Kleber, Maxi",Out,Injury/Illness - Illness; Illness,Dallas Mavericks,DAL@OKC,12/10/2024
"Marshall, Naji",Questionable,Injury/Illness - Illness; Illness,Dallas Mavericks,DAL@OKC,12/10/2024
"Washington, P.J.",Questionable,Injury/Illness - Illness; Illness,Dallas Mavericks,DAL@OKC,12/10/2024
"Williams, Brandon",Out,Injury/Illness - Right Thumb; Sprain,Dallas Mavericks,DAL@OKC,12/10/2024
"Carlson, Branden",Probable,G League - On Assignment,Oklahoma City Thunder,DAL@OKC,12/10/2024
"Dieng, Ousmane",Out,Injury/Illness - Right Ring Finger; Small fracture,Oklahoma City Thunder,DAL@OKC,12/10/2024
"Flagler, Adam",Out,Injury/Illness - Right Fourth Metacarpal; Fracture,Oklahoma City Thunder,DAL@OKC,12/10/2024
"Holmgren, Chet",Out,Injury/Illness - Right Iliac Wing; Fracture,Oklahoma City Thunder,DAL@OKC,12/10/2024
"Jones, Dillon",Out,G League - On Assignment,Oklahoma City Thunder,DAL@OKC,12/10/2024
"Topic, Nikola",Out,Injury/Illness - Left Knee; Surgery,Oklahoma City Thunder,DAL@OKC,12/10/2024
"Williams, Jaylin",Out,Injury/Illness - Right Hamstring; Strain,Oklahoma City Thunder,DAL@OKC,12/10/2024
"Barlow, Dominick",Questionable,G League - Two-Way,Atlanta Hawks,ATL@NYK,12/11/2024
"Bogdanovic, Bogdan",Questionable,Injury/Illness - Left Quad; Contusion,Atlanta Hawks,ATL@NYK,12/11/2024
"Gueye, Mouhamed",Questionable,G League - On Assignment,Atlanta Hawks,ATL@NYK,12/11/2024
"Hunter, De'Andre",Probable,Injury/Illness - Right Knee; Injury Management,Atlanta Hawks,ATL@NYK,12/11/2024
"Johnson, Jalen",Questionable,Injury/Illness - Right Shoulder; Soreness,Atlanta Hawks,ATL@NYK,12/11/2024
"Lundy, Seth",Questionable,G League - Two-Way,Atlanta Hawks,ATL@NYK,12/11/2024
"Wallace, Keaton",Questionable,G League - Two-Way,Atlanta Hawks,ATL@NYK,12/11/2024
"Young, Trae",Probable,Injury/Illness - Right Achilles; Tendinitis,Atlanta Hawks,ATL@NYK,12/11/2024
"Zeller, Cody",Out,Not With Team,Atlanta Hawks,ATL@NYK,12/11/2024
"Hart, Josh",Questionable,Injury/Illness - Left Ankle; Sprained,New York Knicks,ATL@NYK,12/11/2024
"Hukporti, Ariel",Out,Injury/Illness - Left Ankle; Sprained,New York Knicks,ATL@NYK,12/11/2024
"McCullar Jr., Kevin",Out,G League - Two-Way,New York Knicks,ATL@NYK,12/11/2024
"Robinson, Mitchell",Out,Injury/Illness - Left Ankle; Surgery,New York Knicks,ATL@NYK,12/11/2024
"Towns, Karl-Anthony",Probable,Injury/Illness - Right Knee; Patellar Tendonopathy,New York Knicks,ATL@NYK,12/11/2024
"Melton, De'Anthony",Out,Injury/Illness - Left ACL; Surgery,Golden State Warriors,GSW@HOU,12/11/2024
"Moody, Moses",Out,Injury/Illness - Left Knee; Patellar Tendonopathy,Golden State Warriors,GSW@HOU,12/11/2024
"Wiggins, Andrew",Questionable,Injury/Illness - Right Ankle; Impingement,Golden State Warriors,GSW@HOU,12/11/2024
"Adams, Steven",Questionable,Injury/Illness - Right Knee; Injury Recovery,Houston Rockets,GSW@HOU,12/11/2024
"Sengun, Alperen",Questionable,Injury/Illness - Left Knee; Soreness,Houston Rockets,GSW@HOU,12/11/2024
"Tate, Jae'Sean",Questionable,Injury/Illness - Lower Back; Pain,Houston Rockets,GSW@HOU,12/11/2024
"Whitmore, Cam",Questionable,Injury/Illness - Left Wrist; Contusion,Houston Rockets,GSW@HOU,12/11/2024
"Duren, Jalen",Questionable,Injury/Illness - Right Wrist; Sprain,Detroit Pistons,DET@BOS,12/12/2024
"Jenkins, Daniss",Out,G League - Two-Way,Detroit Pistons,DET@BOS,12/12/2024
"Klintman, Bobi",Out,Injury/Illness - Right Calf; Contusion,Detroit Pistons,DET@BOS,12/12/2024
"Swider, Cole",Out,G League - Two-Way,Detroit Pistons,DET@BOS,12/12/2024
"Williams, Alondes",Out,G League - Two-Way,Detroit Pistons,DET@BOS,12/12/2024
"Davison, JD",Questionable,G League - Two-Way,Boston Celtics,DET@BOS,12/12/2024
"Hauser, Sam",Out,Injury/Illness - Right Adductor; Strain,Boston Celtics,DET@BOS,12/12/2024
"Peterson, Drew",Questionable,G League - Two-Way,Boston Celtics,DET@BOS,12/12/2024
"Scheierman, Baylor",Out,G League - On Assignment,Boston Celtics,DET@BOS,12/12/2024
"Springer, Jaden",Out,Injury/Illness - Illness; Non-Covid,Boston Celtics,DET@BOS,12/12/2024
"Tatum, Jayson",Out,Injury/Illness - Right Patella; Tendinopathy,Boston Celtics,DET@BOS,12/12/2024
"Walsh, Jordan",Available,Injury/Illness - Left Rib; Contusion,Boston Celtics,DET@BOS,12/12/2024
"Watson, Anton",Out,G League - Two-Way,Boston Celtics,DET@BOS,12/12/2024
"Barnes, Scottie",Out,Injury/Illness - Right Ankle; Sprain,Toronto Raptors,TOR@MIA,12/12/2024
"Brown, Bruce",Out,Return to Competition Reconditioning,Toronto Raptors,TOR@MIA,12/12/2024
"Chomche, Ulrich",Out,G League - Two-Way,Toronto Raptors,TOR@MIA,12/12/2024
"Lawson, A.J.",Out,G League - Two-Way,Toronto Raptors,TOR@MIA,12/12/2024
"Quickley, Immanuel",Out,Injury/Illness - Left Elbow; Partial UCL Tear,Toronto Raptors,TOR@MIA,12/12/2024
"Butler, Jimmy",Probable,Injury/Illness - Right Knee; Soreness,Miami Heat,TOR@MIA,12/12/2024
"Christopher, Josh",Out,G League - Two-Way,Miami Heat,TOR@MIA,12/12/2024
"Johnson, Keshad",Out,G League - Two-Way,Miami Heat,TOR@MIA,12/12/2024
"Larsson, Pelle",Doubtful,Injury/Illness - Right Ankle; Sprain,Miami Heat,TOR@MIA,12/12/2024
"Richardson, Josh",Out,Injury/Illness - Right Heel; Inflammation,Miami Heat,TOR@MIA,12/12/2024
"Smith, Dru",Available,Injury/Illness - Right Knee; Bone Bruise,Miami Heat,TOR@MIA,12/12/2024
"Carter, Devin",Out,Injury/Illness - Left Shoulder; Surgery,Sacramento Kings,SAC@NOP,12/12/2024
"Crawford, Isaiah",Out,G League - Two-Way,Sacramento Kings,SAC@NOP,12/12/2024
"Jones, Mason",Out,G League - Two-Way,Sacramento Kings,SAC@NOP,12/12/2024
"Lyles, Trey",Out,Injury/Illness - Right Calf; Strain,Sacramento Kings,SAC@NOP,12/12/2024
"Alvarado, Jose",Out,Injury/Illness - Left Hamstring; Strain,New Orleans Pelicans,SAC@NOP,12/12/2024
"Green, Javonte",Out,Injury/Illness - Left Ankle; Soreness,New Orleans Pelicans,SAC@NOP,12/12/2024
"Hawkins, Jordan",Out,Injury/Illness - Lumbar Spine; Annular Fissure,New Orleans Pelicans,SAC@NOP,12/12/2024
"Ingram, Brandon",Out,Injury/Illness - Left Ankle; Sprain,New Orleans Pelicans,SAC@NOP,12/12/2024
"Matkovic, Karlo",Out,Injury/Illness - Low Back; Spasm,New Orleans Pelicans,SAC@NOP,12/12/2024
"Robinson-Earl, Jeremiah",Out,Injury/Illness - Non-COVID; Illness,New Orleans Pelicans,SAC@NOP,12/12/2024
"Williamson, Zion",Out,Injury/Illness - Left Hamstring; Strain,New Orleans Pelicans,SAC@NOP,12/12/2024
"Jackson, Isaiah",Out,Injury/Illness - Right Achilles Tendon; Tear,Indiana Pacers,IND@PHI,12/13/2024
"Nesmith, Aaron",Out,Injury/Illness - Left Ankle; Sprain,Indiana Pacers,IND@PHI,12/13/2024
"Newton, Tristen",Doubtful,G League - Two-Way,Indiana Pacers,IND@PHI,12/13/2024
"Sheppard, Ben",Out,Injury/Illness - Left Oblique; Strain,Indiana Pacers,IND@PHI,12/13/2024
"Wiseman, James",Out,Injury/Illness - Left Achilles Tendon; Tear,Indiana Pacers,IND@PHI,12/13/2024
"Bona, Adem",Out,Injury/Illness - Left Knee; Tendinopathy,Philadelphia 76ers,IND@PHI,12/13/2024
"Dowtin Jr., Jeff",Out,G League - Two-Way,Philadelphia 76ers,IND@PHI,12/13/2024
"Edwards, Justin",Out,G League - Two-Way,Philadelphia 76ers,IND@PHI,12/13/2024
"Martin, Caleb",Out,Injury/Illness - Right Shoulder; Impingement,Philadelphia 76ers,IND@PHI,12/13/2024
"Nance, Pete",Out,G League - Two-Way,Philadelphia 76ers,IND@PHI,12/13/2024
"Baldwin Jr., Patrick",Out,G League - On Assignment,Washington Wizards,WAS@CLE,12/13/2024
"Bey, Saddiq",Out,Injury/Illness - Left Knee; ACL Surgery,Washington Wizards,WAS@CLE,12/13/2024
"Brogdon, Malcolm",Out,Injury/Illness - Left Hamstring; Inflammation,Washington Wizards,WAS@CLE,12/13/2024
"George, Kyshawn",Out,Injury/Illness - Left Ankle; Sprain,Washington Wizards,WAS@CLE,12/13/2024
"Kispert, Corey",Out,Injury/Illness - Left Ankle; Sprain,Washington Wizards,WAS@CLE,12/13/2024
"Kuzma, Kyle",Out,Injury/Illness - Left Rib; Sprain,Washington Wizards,WAS@CLE,12/13/2024
"Vukcevic, Tristan",Out,G League - Two-Way,Washington Wizards,WAS@CLE,12/13/2024
"Bates, Emoni",Out,G League - Two-Way,Cleveland Cavaliers,WAS@CLE,12/13/2024
"Mobley, Evan",Questionable,Injury/Illness - Left Ankle; Sprain,Cleveland Cavaliers,WAS@CLE,12/13/2024
"Okoro, Isaac",Probable,Injury/Illness - Left Knee; Contusion,Cleveland Cavaliers,WAS@CLE,12/13/2024
"Porter Jr., Craig",Out,G League - On Assignment,Cleveland Cavaliers,WAS@CLE,12/13/2024
"Strus, Max",Out,Injury/Illness - Right Ankle; Sprain,Cleveland Cavaliers,WAS@CLE,12/13/2024
"Travers, Luke",Out,G League - Two-Way,Cleveland Cavaliers,WAS@CLE,12/13/2024
"Bogdanovic, Bojan",Out,Injury/Illness - Left Foot; Injury Recovery,Brooklyn Nets,BKN@MEM,12/13/2024
"Martin, Jaylen",Out,G League - Two-Way,Brooklyn Nets,BKN@MEM,12/13/2024
"Martin, Tyrese",Out,G League - Two-Way,Brooklyn Nets,BKN@MEM,12/13/2024
"Thomas, Cam",Out,Injury/Illness - Left Hamstring; Strain,Brooklyn Nets,BKN@MEM,12/13/2024
"Whitehead, Dariq",Out,G League - On Assignment,Brooklyn Nets,BKN@MEM,12/13/2024
"Williams, Ziaire",Out,Injury/Illness - Left Knee; Sprain,Brooklyn Nets,BKN@MEM,12/13/2024
"Yongxi, Cui",Out,Injury/Illness - Left Knee; ACL Tear,Brooklyn Nets,BKN@MEM,12/13/2024
"Edey, Zach",Doubtful,Injury/Illness - Left Ankle; Sprain,Memphis Grizzlies,BKN@MEM,12/13/2024
"Jackson, GG",Out,Injury/Illness - Right Fifth Metatarsal; Repair,Memphis Grizzlies,BKN@MEM,12/13/2024
"Williams Jr., Vince",Out,Injury/Illness - Right Ankle; Sprain,Memphis Grizzlies,BKN@MEM,12/13/2024
"Ball, LaMelo",Out,Injury/Illness - Left Calf; Strain,Charlotte Hornets,CHA@CHI,12/13/2024
"Bridges, Miles",Questionable,Injury/Illness - Right Knee; Bone Bruise,Charlotte Hornets,CHA@CHI,12/13/2024
"Curry, Seth",Probable,Injury/Illness - N/A; Illness,Charlotte Hornets,CHA@CHI,12/13/2024
"Mann, Tre",Out,Injury/Illness - Disc; Irritation,Charlotte Hornets,CHA@CHI,12/13/2024
"Salaun, Tidjane",Questionable,Injury/Illness - Left Ankle; Sprain,Charlotte Hornets,CHA@CHI,12/13/2024
"Williams, Grant",Out,Injury/Illness - Right ACL; Tear,Charlotte Hornets,CHA@CHI,12/13/2024
"Ball, Lonzo",Probable,Injury/Illness - Left Knee; Injury Management,Chicago Bulls,CHA@CHI,12/13/2024
"Giddey, Josh",Questionable,Injury/Illness - Low Back; Spasms,Chicago Bulls,CHA@CHI,12/13/2024
"LaVine, Zach",Probable,Injury/Illness - Low Back; Spasms,Chicago Bulls,CHA@CHI,12/13/2024
"Liddell, E.J.",Questionable,G League - Two-Way,Chicago Bulls,CHA@CHI,12/13/2024
"Sanogo, Adama",Questionable,G League - Two-Way,Chicago Bulls,CHA@CHI,12/13/2024
"Steward, DJ",Out,G League - Two-Way,Chicago Bulls,CHA@CHI,12/13/2024
"Vucevic, Nikola",Questionable,Injury/Illness - N/A; Illness,Chicago Bulls,CHA@CHI,12/13/2024
"Williams, Patrick",Questionable,Injury/Illness - Left Foot; Injury Management,Chicago Bulls,CHA@CHI,12/13/2024
"Davis, Anthony",Probable,Injury/Illness - Left Plantar; Fasciitis,Los Angeles Lakers,LAL@MIN,12/13/2024
"Hayes, Jaxson",Out,Injury/Illness - Right Ankle; Sprain/Contusion,Los Angeles Lakers,LAL@MIN,12/13/2024
"Hood-Schifino, Jalen",Out,Injury/Illness - Left Hamstring; Strain,Los Angeles Lakers,LAL@MIN,12/13/2024
"James, Bronny",Out,G League - On Assignment,Los Angeles Lakers,LAL@MIN,12/13/2024
"James, LeBron",Out,Injury/Illness - Left Foot; Soreness,Los Angeles Lakers,LAL@MIN,12/13/2024
"Reaves, Austin",Probable,Injury/Illness - Left Pelvic; Contusion,Los Angeles Lakers,LAL@MIN,12/13/2024
"Vanderbilt, Jarred",Out,Injury/Illness - Right Foot; Surgery Recovery,Los Angeles Lakers,LAL@MIN,12/13/2024
"Wood, Christian",Out,Injury/Illness - Left Knee; Surgery Recovery,Los Angeles Lakers,LAL@MIN,12/13/2024
"Clark, Jaylen",Out,G League - Two-Way,Minnesota Timberwolves,LAL@MIN,12/13/2024
"Edwards, Jesse",Out,G League - Two-Way,Minnesota Timberwolves,LAL@MIN,12/13/2024
"Ingles, Joe",Out,Injury/Illness - Left Soleus; Strain,Minnesota Timberwolves,LAL@MIN,12/13/2024
"Miller, Leonard",Out,G League - On Assignment,Minnesota Timberwolves,LAL@MIN,12/13/2024
"Nix, Daishen",Out,G League - Two-Way,Minnesota Timberwolves,LAL@MIN,12/13/2024
"Brown, Kobe",Out,Injury/Illness - Back; Injury Management,LA Clippers,LAC@DEN,12/13/2024
"Christie, Cam",Out,G League - On Assignment,LA Clippers,LAC@DEN,12/13/2024
"Flowers, Trentyn",Out,G League - Two-Way,LA Clippers,LAC@DEN,12/13/2024
"Jones Jr., Derrick",Out,Injury/Illness - Right Hamstring; Strain,LA Clippers,LAC@DEN,12/13/2024
"Leonard, Kawhi",Out,Injury/Illness - Right Knee; Injury Recovery,LA Clippers,LAC@DEN,12/13/2024
"Mann, Terance",Out,Injury/Illness - Left Middle Finger; Fracture,LA Clippers,LAC@DEN,12/13/2024
"Tucker, P.J.",Out,Not With Team,LA Clippers,LAC@DEN,12/13/2024
"Alexander, Trey",Out,G League - Two-Way,Denver Nuggets,LAC@DEN,12/13/2024
"Braun, Christian",Probable,Injury/Illness - Right Quad; Contusion,Denver Nuggets,LAC@DEN,12/13/2024
"Cancar, Vlatko",Out,Injury/Illness - Left Knee; Surgery Rehabilitation,Denver Nuggets,LAC@DEN,12/13/2024
"Gordon, Aaron",Probable,Injury/Illness - Right Calf; Strain,Denver Nuggets,LAC@DEN,12/13/2024
"Hall, PJ",Out,G League - Two-Way,Denver Nuggets,LAC@DEN,12/13/2024
"Holmes II, DaRon",Out,Injury/Illness - Right Achilles Tendon; Repair,Denver Nuggets,LAC@DEN,12/13/2024
"Jones, Spencer",Out,G League - Two-Way,Denver Nuggets,LAC@DEN,12/13/2024
"Murray, Jamal",Questionable,Injury/Illness - Right Hamstring; Inflammation,Denver Nuggets,LAC@DEN,12/13/2024
"Saric, Dario",Out,Injury/Illness - Left Ankle; Sprain,Denver Nuggets,LAC@DEN,12/13/2024
"Bridges, Jalen",Out,G League - Two-Way,Phoenix Suns,PHX@UTA,12/13/2024
"Durant, Kevin",Probable,Injury/Illness - Left Ankle; Sprain,Phoenix Suns,PHX@UTA,12/13/2024
"Gillespie, Collin",Out,G League - Two-Way,Phoenix Suns,PHX@UTA,12/13/2024
"Washington Jr., TyTy",Out,G League - Two-Way,Phoenix Suns,PHX@UTA,12/13/2024
"Clarkson, Jordan",Probable,Injury/Illness - Left Plantar; Fasciitis,Utah Jazz,PHX@UTA,12/13/2024
"Collier, Isaiah",Available,G League - On Assignment,Utah Jazz,PHX@UTA,12/13/2024
"Filipowski, Kyle",Available,G League - On Assignment,Utah Jazz,PHX@UTA,12/13/2024
"Hendricks, Taylor",Out,Injury/Illness - Right Fibula; Fracture,Utah Jazz,PHX@UTA,12/13/2024
"Jones Garcia, David",Out,G League - Two-Way,Utah Jazz,PHX@UTA,12/13/2024
"Markkanen, Lauri",Probable,Injury/Illness - Low Back; Injury management,Utah Jazz,PHX@UTA,12/13/2024
"Mykhailiuk, Svi",Out,Injury/Illness - Left Groin; Strain,Utah Jazz,PHX@UTA,12/13/2024
"Sexton, Collin",Available,Injury/Illness - Left Fourth Finger Dip; Avulsion fracture,Utah Jazz,PHX@UTA,12/13/2024
"Tshiebwe, Oscar",Out,G League - Two-Way,Utah Jazz,PHX@UTA,12/13/2024
"Williams, Cody",Out,G League - On Assignment,Utah Jazz,PHX@UTA,12/13/2024
"Castle, Stephon",Out,Injury/Illness - Left Shoulder; Contusion,San Antonio Spurs,SAS@POR,12/13/2024
"Collins, Zach",Out,Injury/Illness - Bilateral Low Back; Contusion,San Antonio Spurs,SAS@POR,12/13/2024
"Duke Jr., David",Out,G League - Two-Way,San Antonio Spurs,SAS@POR,12/13/2024
"Ingram, Harrison",Out,G League - Two-Way,San Antonio Spurs,SAS@POR,12/13/2024
"Johnson, Keldon",Out,Injury/Illness - Left Calf; Strain,San Antonio Spurs,SAS@POR,12/13/2024
"Jones, Tre",Out,Injury/Illness - Left Shoulder; Sprain,San Antonio Spurs,SAS@POR,12/13/2024
"Minix, Riley",Out,G League - Two-Way,San Antonio Spurs,SAS@POR,12/13/2024
"Ayton, Deandre",Questionable,Injury/Illness - Illness; .,Portland Trail Blazers,SAS@POR,12/13/2024
"Clingan, Donovan",Questionable,Injury/Illness - Left Knee; Sprain,Portland Trail Blazers,SAS@POR,12/13/2024
"McGowens, Bryce",Out,G League - Two-Way,Portland Trail Blazers,SAS@POR,12/13/2024
"Minaya, Justin",Out,G League - Two-Way,Portland Trail Blazers,SAS@POR,12/13/2024
"Reath, Duop",Doubtful,Injury/Illness - Low Back; Strain,Portland Trail Blazers,SAS@POR,12/13/2024
"Thybulle, Matisse",Out,Injury/Illness - Right Ankle; Sprain,Portland Trail Blazers,SAS@POR,12/13/2024
"Williams III, Robert",Questionable,Concussion Protocol,Portland Trail Blazers,SAS@POR,12/13/2024
"Barlow, Dominick",Available,G League - Two-Way,Atlanta Hawks,ATL@MIL,12/14/2024
"Bogdanovic, Bogdan",Probable,Injury/Illness - Left Quad; Contusion,Atlanta Hawks,ATL@MIL,12/14/2024
"Gueye, Mouhamed",Available,G League - On Assignment,Atlanta Hawks,ATL@MIL,12/14/2024
"Hunter, De'Andre",Probable,Injury/Illness - Right Knee; Injury Management,Atlanta Hawks,ATL@MIL,12/14/2024
"Johnson, Jalen",Questionable,Injury/Illness - Right Ankle; Sprain,Atlanta Hawks,ATL@MIL,12/14/2024
"Lundy, Seth",Out,Injury/Illness - Left Ankle; Sprain,Atlanta Hawks,ATL@MIL,12/14/2024
"Wallace, Keaton",Available,G League - Two-Way,Atlanta Hawks,ATL@MIL,12/14/2024
"Young, Trae",Probable,Injury/Illness - Right Achilles; Tendinitis,Atlanta Hawks,ATL@MIL,12/14/2024
"Zeller, Cody",Out,Not With Team,Atlanta Hawks,ATL@MIL,12/14/2024
"Antetokounmpo, Giannis",Probable,Injury/Illness - Right Patella; Tendinopathy,Milwaukee Bucks,ATL@MIL,12/14/2024
"Beauchamp, MarJon",Probable,Injury/Illness - Left Hamstring; Tendinopathy,Milwaukee Bucks,ATL@MIL,12/14/2024
"Middleton, Khris",Probable,Injury/Illness - Bilateral Ankle; Surgery,Milwaukee Bucks,ATL@MIL,12/14/2024
"Brooks, Dillon",Questionable,Injury/Illness - N/a; Illness,Houston Rockets,HOU@OKC,12/14/2024
"Dieng, Ousmane",Out,Injury/Illness - Right Ring Finger; Small fracture,Oklahoma City Thunder,HOU@OKC,12/14/2024
"Ducas, Alex",Out,Injury/Illness - Lower Back; Sprain,Oklahoma City Thunder,HOU@OKC,12/14/2024
"Flagler, Adam",Out,Injury/Illness - Right Fourth Metacarpal; Fracture,Oklahoma City Thunder,HOU@OKC,12/14/2024
"Holmgren, Chet",Out,Injury/Illness - Right Iliac Wing; Fracture,Oklahoma City Thunder,HOU@OKC,12/14/2024
"Topic, Nikola",Out,Injury/Illness - Left Left Knee; Sprain,Oklahoma City Thunder,HOU@OKC,12/14/2024
