PLAYER,STATUS,REASON,TEAM,GAME,DATE
"Isaac, Jonathan",Out,Injury/Illness - Left Knee; Injury recovery,Orlando Magic,ORL@GSW,12/06/2021
"Moore, E'Twaun",Out,Injury/Illness - Left Knee; Sprain,Orlando Magic,ORL@GSW,12/06/2021
"Suggs, Jalen",Out,Injury/Illness - Right Thumb; Fracture,Orlando Magic,ORL@GSW,12/06/2021
"Edwards, Kessler",Out,G League - Two-Way,Brooklyn Nets,BKN@DAL,12/07/2021
"Harris, Joe",Out,Injury/Illness - Left Ankle; Surgery,Brooklyn Nets,BKN@DAL,12/07/2021
"Irving, Kyrie",Out,Not With Team,Brooklyn Nets,BKN@DAL,12/07/2021
"Sharpe, Day'Ron",Out,G League - On Assignment,Brooklyn Nets,BKN@DAL,12/07/2021
"Brown, Sterling",Questionable,Injury/Illness - Left Foot; Soreness,Dallas Mavericks,BKN@DAL,12/07/2021
"Cauley-Stein, Willie",Out,Personal Reasons,Dallas Mavericks,BKN@DAL,12/07/2021
"Doncic, Luka",Probable,Injury/Illness - Left Ankle; Soreness; Left Thumb Sprain,Dallas Mavericks,BKN@DAL,12/07/2021
"Hardaway Jr., Tim",Probable,Injury/Illness - Right Knee; Contusion,Dallas Mavericks,BKN@DAL,12/07/2021
"Porzingis, Kristaps",Probable,Injury/Illness - Left Knee; Contusion,Dallas Mavericks,BKN@DAL,12/07/2021
"Samanic, Luka",Out,G League - Two-Way,New York Knicks,NYK@SAS,12/07/2021
"Cacok, Devontae",Out,G League - Two-Way,San Antonio Spurs,NYK@SAS,12/07/2021
"Collins, Zach",Out,Injury/Illness - Left Ankle; Stress Fracture,San Antonio Spurs,NYK@SAS,12/07/2021
"Vassell, Devin",Out,Injury/Illness - Right Quad; Contusion,San Antonio Spurs,NYK@SAS,12/07/2021
"Brown, Jaylen",Questionable,Injury/Illness - Right Hamstring; Tightness,Boston Celtics,BOS@LAL,12/07/2021
"Hauser, Sam",Out,G League - Two-Way,Boston Celtics,BOS@LAL,12/07/2021
"Langford, Romeo",Probable,Injury/Illness - Right Ankle; Sprain,Boston Celtics,BOS@LAL,12/07/2021
"Thomas, Brodric",Out,G League - Two-Way,Boston Celtics,BOS@LAL,12/07/2021
"Anthony, Carmelo",Questionable,Los Angeles Lakers Injury/Illness - Flu Like Symptoms; Stomach illness; Non-COVID related,Los Angeles Lakers,BOS@LAL,12/07/2021
"Ariza, Trevor",Out,Injury/Illness - Right Ankle; Injury recovery,Los Angeles Lakers,BOS@LAL,12/07/2021
"Brown Jr., Chaundee",Out,G League - Two-Way,Los Angeles Lakers,BOS@LAL,12/07/2021
"Davis, Anthony",Probable,Injury/Illness - Left Thumb; Sprain,Los Angeles Lakers,BOS@LAL,12/07/2021
"Huff, Jay",Out,G League - Two-Way,Los Angeles Lakers,BOS@LAL,12/07/2021
"James, LeBron",Probable,Injury/Illness - Rectus Abdominis; Strain,Los Angeles Lakers,BOS@LAL,12/07/2021
"Nunn, Kendrick",Out,Injury/Illness - Right Knee; Bone bruise,Los Angeles Lakers,BOS@LAL,12/07/2021
"Caruso, Alex",Doubtful,Injury/Illness - Right Hamstring; Strain,Chicago Bulls,CHI@CLE,12/08/2021
"DeRozan, DeMar",Out,Health and Safety Protocols,Chicago Bulls,CHI@CLE,12/08/2021
"Green, Javonte",Out,Health and Safety Protocols,Chicago Bulls,CHI@CLE,12/08/2021
"Thomas, Matt",Out,Health and Safety Protocols,Chicago Bulls,CHI@CLE,12/08/2021
"White, Coby",Out,Health and Safety Protocols,Chicago Bulls,CHI@CLE,12/08/2021
"Williams, Patrick",Out,Injury/Illness - Left Wrist; Ligament Tear,Chicago Bulls,CHI@CLE,12/08/2021
"Fall, Tacko",Out,G League - Two-Way,Cleveland Cavaliers,CHI@CLE,12/08/2021
"Nembhard Jr., RJ",Out,G League - Two-Way,Cleveland Cavaliers,CHI@CLE,12/08/2021
"Sexton, Collin",Out,Injury/Illness - Left Knee; Meniscal Tear,Cleveland Cavaliers,CHI@CLE,12/08/2021
"Wade, Dean",Questionable,Injury/Illness - Right Calf; Strain,Cleveland Cavaliers,CHI@CLE,12/08/2021
"Holiday, Justin",Out,Health and Safety Protocols,Indiana Pacers,NYK@IND,12/08/2021
"McConnell, T.J.",Out,Injury/Illness - Right Wrist; Ligament Surgery,Indiana Pacers,NYK@IND,12/08/2021
"Warren, T.J.",Out,Injury/Illness - Left Navicular; Fracture,Indiana Pacers,NYK@IND,12/08/2021
"Samanic, Luka",Out,G League - Two-Way,New York Knicks,NYK@IND,12/08/2021
"Ball, LaMelo",Out,Health and Safety Protocols,Charlotte Hornets,PHI@CHA,12/08/2021
"McDaniels, Jalen",Out,Health and Safety Protocols,Charlotte Hornets,PHI@CHA,12/08/2021
"Plumlee, Mason",Out,Health and Safety Protocols,Charlotte Hornets,PHI@CHA,12/08/2021
"Rozier, Terry",Out,Health and Safety Protocols,Charlotte Hornets,PHI@CHA,12/08/2021
"Smith, Ish",Out,Health and Safety Protocols,Charlotte Hornets,PHI@CHA,12/08/2021
"Henry, Aaron",Out,G League - Two-Way,Philadelphia 76ers,PHI@CHA,12/08/2021
"Maxey, Tyrese",Questionable,Injury/Illness - N/a; Illness - non covid,Philadelphia 76ers,PHI@CHA,12/08/2021
"Reed, Paul",Out,G League - On Assignment,Philadelphia 76ers,PHI@CHA,12/08/2021
"Riller, Grant",Out,Injury/Illness - Right Shoulder; Soreness,Philadelphia 76ers,PHI@CHA,12/08/2021
"Simmons, Ben",Out,Personal Reasons,Philadelphia 76ers,PHI@CHA,12/08/2021
"Springer, Jaden",Out,G League - On Assignment,Philadelphia 76ers,PHI@CHA,12/08/2021
"Diallo, Hamidou",Questionable,Injury/Illness - Right Face; Fracture,Detroit Pistons,WAS@DET,12/08/2021
"Garza, Luka",Available,G League - On Assignment,Detroit Pistons,WAS@DET,12/08/2021
"Joseph, Cory",Probable,Injury/Illness - Right Knee; Inflammation,Detroit Pistons,WAS@DET,12/08/2021
"Lee, Saben",Out,G League - On Assignment,Detroit Pistons,WAS@DET,12/08/2021
"Livers, Isaiah",Out,G League - On Assignment,Detroit Pistons,WAS@DET,12/08/2021
"Olynyk, Kelly",Out,Injury/Illness - Left Knee; Sprain,Detroit Pistons,WAS@DET,12/08/2021
"Pickett, Jamorko",Out,G League - Two-Way,Detroit Pistons,WAS@DET,12/08/2021
"Smith, Chris",Out,G League - Two-Way,Detroit Pistons,WAS@DET,12/08/2021
"Ayayi, Joel",Out,G League - Two-Way,Washington Wizards,WAS@DET,12/08/2021
"Bertans, Davis",Questionable,Injury/Illness - Stomach; Gastroenteritis,Washington Wizards,WAS@DET,12/08/2021
"Bryant, Thomas",Out,Injury/Illness - Left Knee; Left ACL injury recovery,Washington Wizards,WAS@DET,12/08/2021
"Hachimura, Rui",Out,Not with Team - Return to Competition Reconditioning,Washington Wizards,WAS@DET,12/08/2021
"Todd, Isaiah",Out,G League - On Assignment,Washington Wizards,WAS@DET,12/08/2021
"Winston, Cassius",Out,G League - Two-Way,Washington Wizards,WAS@DET,12/08/2021
"Adebayo, Bam",Out,Injury/Illness - Right Thumb; Torn UCL,Miami Heat,MIL@MIA,12/08/2021
"Butler, Jimmy",Out,Injury/Illness - Tail Bone; Contusion,Miami Heat,MIL@MIA,12/08/2021
"Garrett, Marcus",Out,G League - Two-Way,Miami Heat,MIL@MIA,12/08/2021
"Martin, Caleb",Questionable,Injury/Illness - Left Knee; Contusion,Miami Heat,MIL@MIA,12/08/2021
"Morris, Markieff",Out,Injury/Illness - Neck; Whiplash,Miami Heat,MIL@MIA,12/08/2021
"Oladipo, Victor",Out,Injury/Illness - Right Knee; Injury Recovery,Miami Heat,MIL@MIA,12/08/2021
"DiVincenzo, Donte",Out,Injury/Illness - Left Ankle; Injury recovery,Milwaukee Bucks,MIL@MIA,12/08/2021
"Hill, George",Questionable,Injury/Illness - Right Knee; Hyperextension,Milwaukee Bucks,MIL@MIA,12/08/2021
"Lopez, Brook",Out,Injury/Illness - Back; Surgery,Milwaukee Bucks,MIL@MIA,12/08/2021
"Ojeleye, Semi",Out,Injury/Illness - Right Calf; Strain,Milwaukee Bucks,MIL@MIA,12/08/2021
"Krejci, Vit",Out,G League - On Assignment,Oklahoma City Thunder,OKC@TOR,12/08/2021
"Wiggins, Aaron",Out,G League - Two-Way,Oklahoma City Thunder,OKC@TOR,12/08/2021
"Anunoby, OG",Out,Injury/Illness - Left Hip; Pointer,Toronto Raptors,OKC@TOR,12/08/2021
"Birch, Khem",Out,Injury/Illness - Right Knee; Swelling,Toronto Raptors,OKC@TOR,12/08/2021
"Aldridge, LaMarcus",Out,Rest,Brooklyn Nets,BKN@HOU,12/08/2021
"Durant, Kevin",Out,Rest,Brooklyn Nets,BKN@HOU,12/08/2021
"Edwards, Kessler",Out,G League - Two-Way,Brooklyn Nets,BKN@HOU,12/08/2021
"Harris, Joe",Out,Injury/Illness - Left Ankle; Surgery,Brooklyn Nets,BKN@HOU,12/08/2021
"Irving, Kyrie",Out,Not With Team,Brooklyn Nets,BKN@HOU,12/08/2021
"Sharpe, Day'Ron",Out,G League - On Assignment,Brooklyn Nets,BKN@HOU,12/08/2021
"Garuba, Usman",Out,Injury/Illness - Right Thigh; Contusion,Houston Rockets,BKN@HOU,12/08/2021
"Green, Jalen",Out,Injury/Illness - Left Hamstring; Strain,Houston Rockets,BKN@HOU,12/08/2021
"House Jr., Danuel",Out,Injury/Illness - Left Ankle; Sprain,Houston Rockets,BKN@HOU,12/08/2021
"Nix, Daishen",Out,G League - Two-Way,Houston Rockets,BKN@HOU,12/08/2021
"Porter Jr., Kevin",Out,Injury/Illness - Left Thigh; Contusion,Houston Rockets,BKN@HOU,12/08/2021
"Brown, Sterling",Questionable,Injury/Illness - Left Foot; Soreness,Dallas Mavericks,DAL@MEM,12/08/2021
"Cauley-Stein, Willie",Out,Personal Reasons,Dallas Mavericks,DAL@MEM,12/08/2021
"Doncic, Luka",Questionable,Injury/Illness - Left Ankle; Soreness,Dallas Mavericks,DAL@MEM,12/08/2021
"Anderson, Kyle",Doubtful,Injury/Illness - Back; Soreness,Memphis Grizzlies,DAL@MEM,12/08/2021
"Clarke, Brandon",Out,Injury/Illness - Right Knee; Soreness,Memphis Grizzlies,DAL@MEM,12/08/2021
"Merrill, Sam",Out,Injury/Illness - Left Ankle; Sprain,Memphis Grizzlies,DAL@MEM,12/08/2021
"Morant, Ja",Out,Health and Safety Protocols,Memphis Grizzlies,DAL@MEM,12/08/2021
"Williams, Ziaire",Out,Injury/Illness - Left Ankle; Sprain,Memphis Grizzlies,DAL@MEM,12/08/2021
"Barton, Will",Questionable,Injury/Illness - NON-COVID; Illness,Denver Nuggets,DEN@NOP,12/08/2021
"Bol, Bol",Doubtful,Health and Safety Protocols,Denver Nuggets,DEN@NOP,12/08/2021
"Dozier, P.J.",Out,Injury/Illness - Left Acl; Sprain,Denver Nuggets,DEN@NOP,12/08/2021
"Hyland, Bones",Doubtful,Health and Safety Protocols,Denver Nuggets,DEN@NOP,12/08/2021
"Jokic, Nikola",Probable,Injury/Illness - Right Forearm; Contusion,Denver Nuggets,DEN@NOP,12/08/2021
"Murray, Jamal",Out,Injury/Illness - Left Knee; Injury Recovery,Denver Nuggets,DEN@NOP,12/08/2021
"Porter Jr., Michael",Out,Injury/Illness - Lumbar Spine; Surgery,Denver Nuggets,DEN@NOP,12/08/2021
"Rivers, Austin",Out,Health and Safety Protocols,Denver Nuggets,DEN@NOP,12/08/2021
"Alvarado, Jose",Available,G League - Two-Way,New Orleans Pelicans,DEN@NOP,12/08/2021
"Hart, Josh",Questionable,Injury/Illness - Left Knee; Soreness,New Orleans Pelicans,DEN@NOP,12/08/2021
"Hayes, Jaxson",Available,G League - On Assignment,New Orleans Pelicans,DEN@NOP,12/08/2021
"Hommes, Daulton",Out,Injury/Illness - Right Fibular; Stress Fracture,New Orleans Pelicans,DEN@NOP,12/08/2021
"Louzada, Didi",Out,League Suspension,New Orleans Pelicans,DEN@NOP,12/08/2021
"Murphy III, Trey",Available,G League - On Assignment,New Orleans Pelicans,DEN@NOP,12/08/2021
"Williamson, Zion",Out,Injury/Illness - Right Foot; Fracture,New Orleans Pelicans,DEN@NOP,12/08/2021
"Beverley, Patrick",Available,Injury/Illness - Left Adductor; Strain,Minnesota Timberwolves,UTA@MIN,12/08/2021
"Nowell, Jaylen",Questionable,Injury/Illness - Back; Spasms,Minnesota Timberwolves,UTA@MIN,12/08/2021
"Russell, D'Angelo",Questionable,Injury/Illness - Right Ankle; Soreness,Minnesota Timberwolves,UTA@MIN,12/08/2021
"Towns, Karl-Anthony",Available,Injury/Illness - Tailbone; Contusion,Minnesota Timberwolves,UTA@MIN,12/08/2021
"Wright IV, McKinley",Out,G League - Two-Way,Minnesota Timberwolves,UTA@MIN,12/08/2021
"Azubuike, Udoka",Out,Injury/Illness - Right Ankle; Injury,Utah Jazz,UTA@MIN,12/08/2021
"Fitts, Malik",Out,G League - Two-Way,Utah Jazz,UTA@MIN,12/08/2021
"Hughes, Elijah",Out,G League - On Assignment,Utah Jazz,UTA@MIN,12/08/2021
"Whiteside, Hassan",Questionable,Injury/Illness - Left Glute; Contusion,Utah Jazz,UTA@MIN,12/08/2021
"Carter-Williams, Michael",Out,Injury/Illness - Left Ankle; Injury recovery,Orlando Magic,ORL@SAC,12/08/2021
"Fultz, Markelle",Out,Injury/Illness - Left Knee; Injury recovery,Orlando Magic,ORL@SAC,12/08/2021
"Isaac, Jonathan",Out,Injury/Illness - Left Knee; Injury recovery,Orlando Magic,ORL@SAC,12/08/2021
"Moore, E'Twaun",Out,Injury/Illness - Left Knee; Sprain,Orlando Magic,ORL@SAC,12/08/2021
"Suggs, Jalen",Out,Injury/Illness - Right Thumb; Fracture,Orlando Magic,ORL@SAC,12/08/2021
"Barnes, Harrison",Questionable,Injury/Illness - Right Foot; Sprain,Sacramento Kings,ORL@SAC,12/08/2021
"Harkless, Maurice",Questionable,Injury/Illness - Left Knee; Soreness,Sacramento Kings,ORL@SAC,12/08/2021
"Queta, Neemias",Out,G League - Two-Way,Sacramento Kings,ORL@SAC,12/08/2021
"Ramsey, Jahmi'us",Out,G League - On Assignment,Sacramento Kings,ORL@SAC,12/08/2021
"Woodard II, Robert",Out,G League - On Assignment,Sacramento Kings,ORL@SAC,12/08/2021
"Dowtin, Jeff",Out,G League - Two-Way,Golden State Warriors,POR@GSW,12/08/2021
"Iguodala, Andre",Questionable,Injury/Illness - Right Knee; Soreness,Golden State Warriors,POR@GSW,12/08/2021
"Kuminga, Jonathan",Out,G League - On Assignment,Golden State Warriors,POR@GSW,12/08/2021
"Moody, Moses",Out,G League - On Assignment,Golden State Warriors,POR@GSW,12/08/2021
"Thompson, Klay",Out,Injury/Illness - Right Achilles Tendon; Injury Recovery,Golden State Warriors,POR@GSW,12/08/2021
"Wiseman, James",Out,Injury/Illness - Right Knee; Injury Recovery,Golden State Warriors,POR@GSW,12/08/2021
"Lillard, Damian",Out,Injury/Illness - Abdomen; Tendinipsthy - injury management,Portland Trail Blazers,POR@GSW,12/08/2021
"Little, Nassir",Questionable,Injury/Illness - Left Ankle; Sprain,Portland Trail Blazers,POR@GSW,12/08/2021
"McCollum, CJ",Out,Injury/Illness - Right Pneumothorax; Right Lung,Portland Trail Blazers,POR@GSW,12/08/2021
"McLemore, Ben",Questionable,Injury/Illness - Left Hip; Inflammation,Portland Trail Blazers,POR@GSW,12/08/2021
"Simons, Anfernee",Questionable,Injury/Illness - Right Ankle; Sprain,Portland Trail Blazers,POR@GSW,12/08/2021
"Zeller, Cody",Questionable,Injury/Illness - Right Quad; Contusion,Portland Trail Blazers,POR@GSW,12/08/2021
"Batum, Nicolas",Questionable,Return to Competition Reconditioning,LA Clippers,BOS@LAC,12/08/2021
"Johnson, Keon",Out,G League - On Assignment,LA Clippers,BOS@LAC,12/08/2021
"Leonard, Kawhi",Out,Injury/Illness - Right Knee; ACL - Injury Recovery,LA Clippers,BOS@LAC,12/08/2021
"Preston, Jason",Out,Injury/Illness - Right Foot; Injury Recovery,LA Clippers,BOS@LAC,12/08/2021
"Scrubb, Jay",Out,G League - Two-Way,LA Clippers,BOS@LAC,12/08/2021
"Henry, Aaron",Out,G League - Two-Way,Philadelphia 76ers,UTA@PHI,12/09/2021
"Reed, Paul",Out,G League - On Assignment,Philadelphia 76ers,UTA@PHI,12/09/2021
"Riller, Grant",Out,Injury/Illness - Right Shoulder; Soreness,Philadelphia 76ers,UTA@PHI,12/09/2021
"Simmons, Ben",Out,Personal Reasons,Philadelphia 76ers,UTA@PHI,12/09/2021
"Springer, Jaden",Out,G League - On Assignment,Philadelphia 76ers,UTA@PHI,12/09/2021
"Azubuike, Udoka",Out,Injury/Illness - Right Ankle; Injury,Utah Jazz,UTA@PHI,12/09/2021
"Hughes, Elijah",Out,G League - On Assignment,Utah Jazz,UTA@PHI,12/09/2021
"Whiteside, Hassan",Questionable,Injury/Illness - Left Glute; Contusion,Utah Jazz,UTA@PHI,12/09/2021
"Ariza, Trevor",Out,Injury/Illness - Right Ankle; Injury recovery,Los Angeles Lakers,LAL@MEM,12/09/2021
"Brown Jr., Chaundee",Out,G League - Two-Way,Los Angeles Lakers,LAL@MEM,12/09/2021
"Davis, Anthony",Probable,Injury/Illness - Left Thumb; Sprain,Los Angeles Lakers,LAL@MEM,12/09/2021
"Huff, Jay",Out,G League - Two-Way,Los Angeles Lakers,LAL@MEM,12/09/2021
"James, LeBron",Probable,Injury/Illness - Rectus Abdominis; Strain,Los Angeles Lakers,LAL@MEM,12/09/2021
"Nunn, Kendrick",Out,Injury/Illness - Right Knee; Bone bruise,Los Angeles Lakers,LAL@MEM,12/09/2021
"Anderson, Kyle",Questionable,Injury/Illness - Back; Soreness,Memphis Grizzlies,LAL@MEM,12/09/2021
"Clarke, Brandon",Out,Injury/Illness - Right Knee; Soreness,Memphis Grizzlies,LAL@MEM,12/09/2021
"Merrill, Sam",Out,Injury/Illness - Left Ankle; Sprain,Memphis Grizzlies,LAL@MEM,12/09/2021
"Morant, Ja",Out,Injury/Illness - Left Knee; Sprain + Health and Safety Protocols,Memphis Grizzlies,LAL@MEM,12/09/2021
"Williams, Ziaire",Out,Injury/Illness - Left Ankle; Sprain,Memphis Grizzlies,LAL@MEM,12/09/2021
"Barton, Will",Probable,Injury/Illness - Non-covid; Illness,Denver Nuggets,DEN@SAS,12/09/2021
"Dozier, P.J.",Out,Injury/Illness - Left Acl; Surgery,Denver Nuggets,DEN@SAS,12/09/2021
"Murray, Jamal",Out,Injury/Illness - Left Knee; Injury Recovery,Denver Nuggets,DEN@SAS,12/09/2021
"Porter Jr., Michael",Out,Injury/Illness - Lumbar Spine; Surgery,Denver Nuggets,DEN@SAS,12/09/2021
"Rivers, Austin",Out,Health and Safety Protocols,Denver Nuggets,DEN@SAS,12/09/2021
"Cacok, Devontae",Out,G League - Two-Way,San Antonio Spurs,DEN@SAS,12/09/2021
"Collins, Zach",Out,Injury/Illness - Left Ankle; Stress Fracture,San Antonio Spurs,DEN@SAS,12/09/2021
"Johnson, Keldon",Out,Injury/Illness - Right Ankle; Sprain,San Antonio Spurs,DEN@SAS,12/09/2021
"Landale, Jock",Out,G League - On Assignment,San Antonio Spurs,DEN@SAS,12/09/2021
"Vassell, Devin",Probable,Injury/Illness - Right Quad; Contusion,San Antonio Spurs,DEN@SAS,12/09/2021
"Wieskamp, Joe",Out,G League - Two-Way,San Antonio Spurs,DEN@SAS,12/09/2021
"Brown, Sterling",Questionable,Injury/Illness - Left Foot; Soreness,Dallas Mavericks,DAL@IND,12/10/2021
"Cauley-Stein, Willie",Out,Personal Reasons,Dallas Mavericks,DAL@IND,12/10/2021
"Holiday, Justin",Out,Health and Safety Protocols,Indiana Pacers,DAL@IND,12/10/2021
"McConnell, T.J.",Out,Injury/Illness - Right Wrist; Ligament Surgery,Indiana Pacers,DAL@IND,12/10/2021
"Warren, T.J.",Out,Injury/Illness - Left Navicular; Fracture,Indiana Pacers,DAL@IND,12/10/2021
"Ball, LaMelo",Out,Health and Safety Protocols,Charlotte Hornets,SAC@CHA,12/10/2021
"McDaniels, Jalen",Out,Health and Safety Protocols,Charlotte Hornets,SAC@CHA,12/10/2021
"Plumlee, Mason",Out,Health and Safety Protocols,Charlotte Hornets,SAC@CHA,12/10/2021
"Rozier, Terry",Out,Health and Safety Protocols,Charlotte Hornets,SAC@CHA,12/10/2021
"Smith, Ish",Out,Health and Safety Protocols,Charlotte Hornets,SAC@CHA,12/10/2021
"Washington, P.J.",Doubtful,"Injury/Illness - N/A; Illness, non-COVID",Charlotte Hornets,SAC@CHA,12/10/2021
"Holmes, Richaun",Out,Injury/Illness - Right Eye; Injury,Sacramento Kings,SAC@CHA,12/10/2021
"King, Louis",Out,G League - Two-Way,Sacramento Kings,SAC@CHA,12/10/2021
"Queta, Neemias",Out,G League - Two-Way,Sacramento Kings,SAC@CHA,12/10/2021
"Ramsey, Jahmi'us",Out,G League - On Assignment,Sacramento Kings,SAC@CHA,12/10/2021
"Woodard II, Robert",Out,G League - On Assignment,Sacramento Kings,SAC@CHA,12/10/2021
"Bogdanovic, Bogdan",Out,Injury/Illness - Right Ankle; Sprain,Atlanta Hawks,BKN@ATL,12/10/2021
"Cooper, Sharife",Out,G League - Two-Way,Atlanta Hawks,BKN@ATL,12/10/2021
"Hill, Solomon",Out,Injury/Illness - Right Hamstring; Tear,Atlanta Hawks,BKN@ATL,12/10/2021
"Hunter, De'Andre",Out,Injury/Illness - Right Wrist; Tendon Surgery,Atlanta Hawks,BKN@ATL,12/10/2021
"Johnson, Jalen",Out,G League - On Assignment,Atlanta Hawks,BKN@ATL,12/10/2021
"Okongwu, Onyeka",Out,G League - On Assignment,Atlanta Hawks,BKN@ATL,12/10/2021
"Reddish, Cam",Probable,Injury/Illness - Left Wrist; Sprain,Atlanta Hawks,BKN@ATL,12/10/2021
"Edwards, Kessler",Out,G League - Two-Way,Brooklyn Nets,BKN@ATL,12/10/2021
"Harris, Joe",Out,Injury/Illness - Left Ankle; Surgery,Brooklyn Nets,BKN@ATL,12/10/2021
"Irving, Kyrie",Out,Not With Team,Brooklyn Nets,BKN@ATL,12/10/2021
"Sharpe, Day'Ron",Out,G League - On Assignment,Brooklyn Nets,BKN@ATL,12/10/2021
"Noel, Nerlens",Probable,Injury/Illness - Back; sore lower,New York Knicks,NYK@TOR,12/10/2021
"Samanic, Luka",Out,G League - Two-Way,New York Knicks,NYK@TOR,12/10/2021
"Achiuwa, Precious",Questionable,Injury/Illness - Right Shoulder; Tendinitis,Toronto Raptors,NYK@TOR,12/10/2021
"Anunoby, OG",Out,Injury/Illness - Left Hip; Pointer,Toronto Raptors,NYK@TOR,12/10/2021
"Birch, Khem",Out,Injury/Illness - Right Knee; Swelling,Toronto Raptors,NYK@TOR,12/10/2021
"Champagnie, Justin",Questionable,Injury/Illness - Right Knee; Tendinitis,Toronto Raptors,NYK@TOR,12/10/2021
"Dragic, Goran",Out,Not With Team,Toronto Raptors,NYK@TOR,12/10/2021
"Johnson, David",Out,Injury/Illness - Left Calf; Strain,Toronto Raptors,NYK@TOR,12/10/2021
"Nembhard Jr., RJ",Out,G League - Two-Way,Cleveland Cavaliers,CLE@MIN,12/10/2021
"Sexton, Collin",Out,Injury/Illness - Left Knee; Meniscal Tear,Cleveland Cavaliers,CLE@MIN,12/10/2021
"Windler, Dylan",Out,G League - On Assignment,Cleveland Cavaliers,CLE@MIN,12/10/2021
"Beverley, Patrick",Probable,Injury/Illness - Left Adductor; Strain,Minnesota Timberwolves,CLE@MIN,12/10/2021
"Russell, D'Angelo",Questionable,Injury/Illness - Right Ankle; Soreness,Minnesota Timberwolves,CLE@MIN,12/10/2021
"Wright IV, McKinley",Out,G League - Two-Way,Minnesota Timberwolves,CLE@MIN,12/10/2021
"Diallo, Hamidou",Available,Injury/Illness - Right Face; Fracture,Detroit Pistons,DET@NOP,12/10/2021
"Hayes, Killian",Available,Injury/Illness - Left Thumb; Sprain,Detroit Pistons,DET@NOP,12/10/2021
"Livers, Isaiah",Out,G League - On Assignment,Detroit Pistons,DET@NOP,12/10/2021
"Olynyk, Kelly",Out,Injury/Illness - Left Knee; Sprain,Detroit Pistons,DET@NOP,12/10/2021
"Pickett, Jamorko",Out,G League - Two-Way,Detroit Pistons,DET@NOP,12/10/2021
"Smith, Chris",Out,G League - Two-Way,Detroit Pistons,DET@NOP,12/10/2021
"Hommes, Daulton",Out,Injury/Illness - Right Fibular; Stress Fracture,New Orleans Pelicans,DET@NOP,12/10/2021
"Lewis Jr., Kira",Out,Injury/Illness - Right Knee; Sprain,New Orleans Pelicans,DET@NOP,12/10/2021
"Louzada, Didi",Out,League Suspension,New Orleans Pelicans,DET@NOP,12/10/2021
"Williamson, Zion",Out,Injury/Illness - Right Foot; Fracture,New Orleans Pelicans,DET@NOP,12/10/2021
"Ariza, Trevor",Out,Injury/Illness - Right Ankle; Injury recovery,Los Angeles Lakers,LAL@OKC,12/10/2021
"Brown Jr., Chaundee",Out,G League - Two-Way,Los Angeles Lakers,LAL@OKC,12/10/2021
"Davis, Anthony",Questionable,Injury/Illness - Left Knee; Soreness,Los Angeles Lakers,LAL@OKC,12/10/2021
"Huff, Jay",Out,G League - Two-Way,Los Angeles Lakers,LAL@OKC,12/10/2021
"James, LeBron",Probable,Injury/Illness - Rectus Abdominis; Strain,Los Angeles Lakers,LAL@OKC,12/10/2021
"Nunn, Kendrick",Out,Injury/Illness - Right Knee; Bone bruise,Los Angeles Lakers,LAL@OKC,12/10/2021
"Krejci, Vit",Out,G League - On Assignment,Oklahoma City Thunder,LAL@OKC,12/10/2021
"Wiggins, Aaron",Out,G League - Two-Way,Oklahoma City Thunder,LAL@OKC,12/10/2021
"Garuba, Usman",Out,Injury/Illness - Right Thigh; Contusion,Houston Rockets,MIL@HOU,12/10/2021
"Green, Jalen",Out,Injury/Illness - Left Hamstring; Strain,Houston Rockets,MIL@HOU,12/10/2021
"House Jr., Danuel",Out,Injury/Illness - Left Ankle; Sprain,Houston Rockets,MIL@HOU,12/10/2021
"Nix, Daishen",Out,G League - Two-Way,Houston Rockets,MIL@HOU,12/10/2021
"Porter Jr., Kevin",Out,Injury/Illness - Left Thigh; Contusion,Houston Rockets,MIL@HOU,12/10/2021
"Antetokounmpo, Giannis",Probable,Injury/Illness - Right Quad; Contusion,Milwaukee Bucks,MIL@HOU,12/10/2021
"DiVincenzo, Donte",Out,Injury/Illness - Left Ankle; Injury recovery,Milwaukee Bucks,MIL@HOU,12/10/2021
"Hill, George",Questionable,Injury/Illness - Right Knee; Hyperextension,Milwaukee Bucks,MIL@HOU,12/10/2021
"Lopez, Brook",Out,Injury/Illness - Back; Surgery,Milwaukee Bucks,MIL@HOU,12/10/2021
"Ojeleye, Semi",Out,Injury/Illness - Right Calf; Strain,Milwaukee Bucks,MIL@HOU,12/10/2021
"Brown, Jaylen",Out,Injury/Illness - Right Hamstring; Tightness,Boston Celtics,BOS@PHX,12/10/2021
"Fernando, Bruno",Out,Injury/Illness - Low Back; Spasms,Boston Celtics,BOS@PHX,12/10/2021
"Hauser, Sam",Out,G League - Two-Way,Boston Celtics,BOS@PHX,12/10/2021
"Thomas, Brodric",Out,G League - Two-Way,Boston Celtics,BOS@PHX,12/10/2021
"Ayton, Deandre",Questionable,Injury/Illness - Non-covid; Illness,Phoenix Suns,BOS@PHX,12/10/2021
"Booker, Devin",Out,Injury/Illness - Left Hamstring; Strain,Phoenix Suns,BOS@PHX,12/10/2021
"Hutchison, Chandler",Available,G League - Two-Way,Phoenix Suns,BOS@PHX,12/10/2021
"Kaminsky, Frank",Out,Injury/Illness - Right Knee; Stress reaction,Phoenix Suns,BOS@PHX,12/10/2021
